#Observation	PValue	QValue
K03973	2.3867370455375e-05	0.000913599872092587
K03636	0.000623823722115224	0.00362130737661187
K01991	0.000437175878283123	0.00293236152350379
K03828	0.0169733431282616	0.0463083011071702
K02466	0.000128148612328876	0.00165167934967868
K09911	0.000386627864736504	0.00281797357971815
K07283	0.000182742712978713	0.00192106701119519
K02411	0.00744428602664719	0.0240018113753394
K12973	0.0176622123996977	0.047803468010027
K12974	0.00814992552290498	0.0259320442731933
K02421	0.00818974075453943	0.0260099626833189
K02425	0.000359662490982514	0.00272071581217233
K03776	0.00204625592939581	0.0085102144361478
K22105	0.000318343979813632	0.00254284350952359
K12288	0.00163340184891815	0.00711956233976227
K09994	0.00160786706404625	0.00705051784931908
K07589	0.000248814039325918	0.00219098259199445
K07109	0.000656593379182967	0.00374744046347588
K09893	0.000613805039736618	0.00357947475062901
K16291	0.000326009745289366	0.00258120624147459
K02441	0.000330017010004361	0.00259277252767315
K07070	5.38824640477104e-05	0.00122195156841769
K03586	3.17002940892297e-05	0.000978098164898596
K02297	8.06552603171513e-05	0.00135121516036453
K12963	0.000152516550541271	0.00178893608748631
K03764	0.00164590490773679	0.00715568051689838
K03516	0.000495008496855615	0.00317391468197977
K05874	5.89732378195979e-05	0.00126794880846331
K12290	0.00034644952167987	0.00268458830269744
K11926	0.00161634673963515	0.00706336588110089
K18862	0.00093535212155213	0.00469115381550612
K11106	5.87070741473257e-06	0.000679266570806943
K11107	0.0012027284820013	0.00569169093739329
K07397	0.000234090842571112	0.00211357766784347
K13635	0.00105278097353612	0.00513381986232989
K19129	0.655274244611325	0.760602184066634
K21089	0.000149082294933086	0.00178163841198202
K19234	0.000685505797242454	0.00386339843389243
K05523	0.000242350767016205	0.00216318012429296
K21087	4.40624057193201e-05	0.0011460157940799
K06940	0.00214759755589996	0.00885297097739813
K02192	2.5542902337202e-05	0.00092800744327307
K03712	8.5309354534314e-05	0.00137006285152742
K02173	0.000665742743936472	0.00378269677386225
K07782	0.000156902966548784	0.00181132200158698
K15829	0.000150037459052892	0.00178358264356211
K03971	0.00434672359627848	0.015442546984406
K03804	0.000407337070128758	0.00284733406975786
K03805	5.55588429731211e-05	0.00123515314225397
K11930	0.00058854910265216	0.00350035453458195
K11932	1.7901409939026e-05	0.000833206355846039
K11929	6.84467482556327e-07	0.000404604564983707
K09954	0.00122048545519921	0.005758564830787
K07676	4.99417174194505e-05	0.00118257341108104
K18365	0.113160987036403	0.215930504123812
K11208	0.00215860151967889	0.00886435829681043
K15034	0.000235584757373069	0.00212276460139167
K07017	0.159086824328594	0.280022196021418
K04046	0.000214791082018236	0.00205159737064697
K01058	3.82574636339713e-05	0.00106431009486638
K02452	7.0473074885647e-05	0.00130535084056157
K03746	0.00626248711067158	0.0208927404196783
K01096	0.00140999411084139	0.00640917858776209
K02614	0.0439034513626474	0.100954142225491
K09780	0.00602360284520316	0.0202348001299033
K00246	8.73228879403611e-06	0.000724175587810178
K11907	0.000174005588162175	0.00188883251457065
K02459	0.000602673237720792	0.00353888056890029
K09896	0.000864324653726031	0.00446757680010394
K09890	0.00877798685716456	0.0274332296438458
K07245	0.00017762929376148	0.00189981246752037
K09899	0.000145676676029625	0.00177002376531461
K13684	0.00215906585897563	0.00886435829681043
K11474	0.00655213979528693	0.0216255366303141
K11476	0.468877917309031	0.60754835251216
K18843	0.00963849202012787	0.029757163659473
K03195	0.000492687793189891	0.00316301835451417
K09806	0.000593689417667307	0.00351042139993526
K10679	0.000314620922254613	0.00251845143899093
K15974	9.82127849110876e-06	0.000724639547800503
K15977	0.000687454308997334	0.00386339843389243
K03558	0.000163947670762333	0.00185150012195206
K03557	0.00134437520827963	0.00618138488660458
K02773	0.000686403455842948	0.00386339843389243
K02399	0.000612516463547522	0.003576076276454
K09018	5.1703661890455e-05	0.0012074465260748
K03600	0.000162943025056062	0.00184753438877598
K03607	0.000537337651785468	0.00333608046980466
K09712	0.00180894295463999	0.00771300551262327
K20848	0.707237820751748	0.799766269535128
K11685	0.000523967799197735	0.00327594138318667
K14053	0.00218359244721776	0.00892459820951654
K00695	0.0261928166548637	0.0656561445543628
K06144	9.07054674668739e-06	0.000724175587810178
K02462	0.00213706361332849	0.00883099907098648
K06080	4.56195757270667e-05	0.00114711734832433
K09841	0.147321683109981	0.264555445754114
K02019	0.00162229556533334	0.00708308920787412
K06039	1.48232197518076e-05	0.0007931695240664
K18935	0.0946158533456404	0.187646789786776
K09770	0.412012551462398	0.558698618557878
K09898	0.00430889702423052	0.0153510110219437
K09917	0.000415800177699635	0.00286446374109451
K09914	0.00150800858189769	0.0067462844379975
K17871	0.129470363204192	0.239510762744383
K11258	0.000388017968843532	0.00281797357971815
K19236	8.43371401559112e-06	0.000724175587810178
K07289	0.000227800644549193	0.00209942516236333
K05997	1.93775682179907e-06	0.000458243815192128
K01373	0.327340024056816	0.475121869327351
K05876	9.00923675298279e-05	0.00141495674351393
K14136	0.212822291132186	0.34973475924918
K06077	9.85526392490687e-05	0.00147568084240297
K12268	0.36988951643229	0.518905353584124
K18921	0.00058769473253361	0.003499361267051
K12262	0.000403688258646856	0.00284424136539821
K17816	0.00801551188899908	0.0255843078538522
