observation	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample40	Sample41	Sample42	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Calescamantes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Coprothermobacterota	44	5	8	43	77	67	15	24	37	54	38	33	64	28	64	51	25	17	21	57	7	14	17	53	10	48	23	14	20	44	12	51	9	72	14	21	62	98	45	39	17	4	9	40	48	31	61	9	75	21	16	38	60	85	8	38	32	37	47	15	97	28	28	34	81	10	36	53	97	41
sk_Bacteria;k__Bacteria incertae sedis;p__Fusobacteria	4395	2381	1784	5317	2486	1529	3835	3589	4947	5654	3942	5655	1603	4576	6165	5495	2588	1892	2261	2124	1342	1738	3508	2801	1581	1712	1586	1554	1223	2839	1537	1415	3095	1405	2543	1854	1210	3592	2662	1362	2002	930	2202	1242	1920	2340	1344	1857	3095	3399	1901	2446	1615	4835	1527	1103	1792	3793	2165	1494	3557	2106	1944	3440	5180	1650	2820	1489	5579	1260
sk_Bacteria;k__Bacteria incertae sedis;p__Spirochaetes	7746	4635	4620	8235	5237	3139	5897	5299	8065	8304	6755	9275	3148	5915	9711	7005	4324	4969	4703	5053	2450	3618	5266	5848	2168	3277	2888	2481	2061	5377	1939	3094	4187	3393	3260	3449	2912	5393	4460	2711	2857	1374	3416	2639	3392	4510	3056	2932	5332	5227	2543	4380	3558	6951	2310	2558	2949	6481	3699	3077	7133	4139	3689	4937	9161	3259	4573	3370	12684	2989
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Wolfebacteria	9	4	1	11	14	11	17	16	26	41	17	16	19	20	22	13	24	3	8	16	2	9	8	20	3	6	7	5	1	16	5	17	3	9	8	10	19	10	10	10	6	3	11	11	14	19	14	7	6	24	4	9	12	13	4	20	16	16	13	10	25	14	4	14	29	14	16	9	23	11
sk_Bacteria;k__Bacteria incertae sedis;p__Acidobacteria	2584	1863	922	2225	1686	509	1943	1456	1975	1748	2114	2814	1038	1675	2397	1753	1633	1140	1966	1812	750	1356	1488	1862	723	964	1019	815	591	1620	525	1024	1000	1041	1111	1418	887	1519	1203	824	718	545	1251	844	892	1842	541	1083	1385	1697	598	1346	1093	1786	777	678	1011	2290	1182	1280	2159	1408	1338	1808	2272	1432	1170	739	4386	911
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Daviesbacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sk_Bacteria;k__Bacteria incertae sedis;p__Kiritimatiellaeota	358	184	77	283	210	14	165	135	232	164	281	148	84	198	252	210	144	103	270	174	105	154	167	173	87	106	93	91	70	185	39	121	116	86	122	112	114	184	170	78	58	33	98	79	98	127	31	68	182	157	68	175	105	231	79	52	63	211	124	110	221	165	189	142	269	91	129	41	441	91
sk_Bacteria;k__Bacteria incertae sedis;p__Atribacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Jorgensenbacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Bipolaricaulota	23	9	9	31	47	11	52	50	37	35	31	25	17	44	73	63	28	8	41	37	17	33	31	47	9	21	35	17	9	56	4	30	50	25	13	17	17	42	47	23	16	5	23	20	20	22	2	11	36	29	20	32	29	32	13	17	8	24	39	13	45	20	28	26	57	16	27	19	145	30
sk_Bacteria;k__Bacteria incertae sedis;p__Deferribacteres	528	463	415	774	404	361	944	1056	1177	723	384	717	292	560	1844	562	410	376	416	324	199	318	903	442	153	286	248	234	436	539	269	276	722	257	243	270	285	500	370	219	345	99	320	269	256	469	284	257	397	518	244	422	310	578	195	259	358	1295	330	186	615	558	317	379	1140	262	440	344	1565	237
sk_Bacteria;k__Bacteria incertae sedis;p__candidate division CPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Deinococcus-Thermus	5880	3800	2671	7374	4844	659	5098	3570	6428	4219	7421	5651	1862	4389	9170	5818	3242	1896	5866	6276	1980	2868	4782	5514	1595	2550	2222	2418	1694	5128	1066	2794	3029	2586	2971	2802	2220	3966	3983	2410	1325	1115	2991	1941	2541	3379	808	2352	4158	6087	1453	3893	2374	4275	1570	1619	2064	4556	3225	2938	6538	3387	2865	4839	8218	2560	3265	1412	9126	2662
sk_Bacteria;k__Bacteria incertae sedis;p__Bacteroidetes	361770	553200	283116	359835	890059	1692293	680282	622628	211631	352244	219663	859598	1523668	843457	479924	1007765	917859	1995931	597241	1315159	551070	708267	740871	739124	525309	628244	358429	436744	546297	650375	470270	682271	278914	955477	377661	749472	851508	819579	515466	986693	800359	231519	535880	691722	494616	982326	1266188	729229	444951	407619	622823	503688	1184131	1274762	456587	987845	710195	837021	625737	484994	1614023	749522	369559	596441	600434	763831	764569	1433379	2430137	755595
sk_Bacteria;k__Bacteria incertae sedis;p__Cyanobacteria	14721	10451	6370	14712	10414	6576	10820	10048	13853	13030	12738	15970	7137	12416	16520	13079	9000	7128	8731	10609	5135	7379	10353	10216	4501	6365	5926	5129	3955	9374	3349	6211	6769	6882	6689	7564	5957	10695	7962	5497	6176	2874	6813	5530	6430	9648	6723	6402	10043	9746	4753	8063	7213	13670	4757	4870	6187	11879	7178	6765	13150	8130	7754	10129	15337	7427	8546	6905	27779	5737
sk_Bacteria;k__Bacteria incertae sedis;p__Abditibacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Armatimonadetes	642	358	162	619	335	110	311	293	448	336	470	471	166	318	479	342	240	147	356	288	129	248	287	354	116	185	157	161	94	322	63	185	162	178	174	237	169	320	227	141	111	82	202	156	179	319	114	178	314	308	87	275	195	373	147	138	164	371	238	173	434	269	302	331	422	220	204	104	704	182
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Absconditabacteria	68	59	53	62	55	36	50	83	47	81	53	52	52	55	82	71	54	51	39	46	31	34	32	47	18	39	40	21	21	56	14	26	39	31	36	40	32	55	38	25	40	19	52	39	43	38	37	34	54	53	39	54	41	79	37	37	36	44	43	19	80	34	33	39	72	25	46	49	122	26
sk_Bacteria;k__Bacteria incertae sedis;p__Synergistetes	1217	909	581	1812	1233	278	1534	988	1840	1002	1790	2025	433	1090	2831	1699	1008	399	1349	1706	485	636	1238	1409	420	679	613	501	442	1456	361	612	805	686	738	731	538	991	1008	584	470	359	844	534	629	1012	290	718	1228	1543	388	931	563	1099	379	510	521	1371	836	784	1778	838	709	1406	2404	675	845	499	2136	726
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Tectomicrobia	0	0	0	1	0	0	3	2	0	0	0	0	0	1	0	0	2	0	0	0	2	0	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Fibrobacteres	468	331	133	412	407	239	278	219	331	350	377	464	249	390	302	251	332	262	449	334	158	300	292	345	142	221	223	178	110	289	71	225	180	273	224	284	231	395	244	207	158	83	234	216	205	347	284	185	288	288	113	255	282	450	168	197	225	357	261	220	462	284	225	298	379	326	278	246	1132	199
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Berkelbacteria	23	11	10	21	8	2	11	16	13	18	16	36	2	21	23	26	10	9	7	3	2	5	12	6	5	9	13	8	4	6	11	9	17	5	8	8	1	8	6	1	13	3	5	5	9	7	1	7	5	11	4	13	4	11	11	1	5	14	5	11	9	8	6	11	12	2	5	4	27	1
sk_Bacteria;k__Bacteria incertae sedis;p__Chlorobi	3444	2872	1392	3073	2391	1011	2424	1815	2530	2810	2836	3841	1482	2626	2377	2161	2576	1997	2869	2034	1260	2133	1952	2089	1117	1369	1552	1194	878	1905	792	1456	1254	1603	1764	2367	1350	2267	1569	1134	1265	729	1830	1281	1311	2779	1183	1694	1730	2084	942	1781	1511	2686	1401	995	1734	3239	1562	1961	2862	2270	1829	2596	2648	2414	1755	1257	7235	1259
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Latescibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Hydrogenedentes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Gemmatimonadetes	927	666	252	904	515	152	687	360	587	569	704	1094	369	531	696	586	688	426	544	668	250	389	490	550	224	306	394	257	160	460	178	321	318	312	477	543	283	465	364	269	305	208	517	281	288	624	216	472	380	630	188	484	348	536	270	291	466	734	373	487	714	605	404	702	674	609	398	260	1302	349
sk_Bacteria;k__Bacteria incertae sedis;p__Chrysiogenetes	460	251	122	362	139	30	154	133	320	281	454	307	68	166	241	173	173	50	150	137	74	141	236	146	69	101	109	110	62	145	53	78	111	79	192	187	56	140	156	78	67	67	97	58	83	160	20	113	121	275	48	124	65	144	85	61	86	258	100	208	187	161	173	226	230	155	114	48	515	57
sk_Bacteria;k__Bacteria incertae sedis;p__Ignavibacteriae	343	392	453	377	218	169	275	231	414	500	335	511	167	283	410	235	243	604	216	197	112	159	202	206	99	110	206	105	117	188	83	116	196	150	141	197	84	192	190	96	153	84	174	102	133	284	124	146	205	256	104	178	129	277	99	115	198	305	132	176	265	208	167	260	364	237	199	144	779	115
sk_Bacteria;k__Bacteria incertae sedis;p__Balneolaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Cloacimonetes	54	91	51	80	92	82	56	59	95	93	78	63	63	74	126	74	70	93	51	69	38	49	55	89	19	52	33	21	19	79	16	72	31	70	34	46	48	113	58	59	57	13	45	72	68	59	93	25	63	35	48	71	87	109	30	63	45	69	60	22	128	49	61	54	132	39	95	86	199	58
sk_Bacteria;k__Bacteria incertae sedis;p__Verrucomicrobia	268951	3455	1622	4639	974690	48029	177418	250952	3271	3446	86121	163973	2192648	2812	4014	484492	1355347	18576	75008	1215630	405315	812740	272704	14786	285740	333979	743679	262359	1771	2369	136712	186769	84662	1349003	403841	555139	966104	41744	45803	504993	243868	266451	622552	1448962	152713	653450	77772	407770	117611	442941	632467	117463	1397479	757594	451665	1075	744954	858094	238908	243208	1334866	795799	239518	182854	115798	443346	212691	22941	882559	539482
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Saccharibacteria	61	34	2	43	42	5	58	55	31	53	29	183	28	34	69	49	67	27	44	31	10	23	39	47	5	29	29	9	6	39	15	50	34	29	30	54	23	59	59	22	35	28	73	22	34	85	5	58	36	58	17	32	27	59	16	34	58	85	43	57	82	45	17	84	54	99	26	18	46	25
sk_Bacteria;k__Bacteria incertae sedis;p__Proteobacteria	851478	829450	773455	1193778	727149	1264339	1066710	634615	828623	1308335	845695	1327836	1404762	757409	913410	979885	749036	2075570	723826	607167	693212	667032	973981	969841	411971	543165	714041	502450	869632	531693	1117486	732168	1060673	555646	1041641	731056	880673	778330	756586	540733	848183	192084	564064	242782	879392	459553	975357	645204	796136	1843304	935314	547395	1263077	406317	663067	1137525	922259	1290570	861965	781084	1212360	785339	1069215	1053628	1658235	1336972	644770	1147098	3781268	813195
sk_Bacteria;k__Bacteria incertae sedis;p__Dictyoglomi	104	35	35	153	79	50	121	127	191	218	128	108	28	133	221	112	71	40	56	38	32	71	117	100	42	54	61	36	42	106	26	48	108	25	64	55	36	115	96	31	68	27	69	41	58	59	29	32	95	126	64	77	48	147	60	54	47	102	58	47	93	78	61	132	184	28	79	33	170	31
sk_Bacteria;k__Bacteria incertae sedis;p__Bacteria incertae sedis	68	11	12	61	34	32	41	42	38	60	51	57	18	29	92	35	29	55	25	22	12	16	26	23	17	24	11	22	10	27	16	11	33	14	20	16	19	38	35	7	32	15	22	17	18	16	30	22	30	24	17	22	21	58	14	33	13	36	23	12	39	21	18	22	70	24	47	28	71	16
sk_Bacteria;k__Bacteria incertae sedis;p__Chloroflexi	2558	1452	1023	2851	2309	817	2198	1792	2807	2317	2916	3333	1238	2022	3861	2547	1612	910	2257	2531	911	1315	1972	2362	710	1240	1163	1023	685	2117	484	1303	1398	1322	1299	1403	1140	1884	1665	1068	853	526	1301	996	1288	1943	809	1051	2189	2061	811	1580	1337	2332	800	913	1094	2413	1580	1399	2879	1645	1518	2051	3449	1322	1590	894	4684	1306
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Nomurabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__candidate division NC10	52	33	18	64	72	24	62	56	97	60	65	84	40	60	111	88	46	32	65	59	29	37	56	88	38	44	42	36	23	86	31	40	34	44	57	43	31	89	43	54	28	13	32	35	57	73	32	23	64	52	28	63	48	66	44	20	32	46	62	34	93	52	30	61	104	41	56	48	173	51
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Collierbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
