Gene	A.1	A.2	A.3	B.1	B.2	B.3	C.1	C.2	C.3	D.1	D.2	D.3	E.1	E.2	E.3
Dhrs7	69	44	35	209	76	61	67	85	54	178	35	46	83	29	73
Dhrs7b	333	171	191	471	235	190	331	447	288	548	186	257	245	204	276
Dhrs7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Dhrsx	177	142	108	571	306	196	409	765	522	762	255	350	183	284	195
Dhtkd1	3	3	3	32	7	3	3	3	2	3	2	2	1	3	1
Dhx15	6289	4182	4972	13707	7274	6012	12094	16235	11557	9359	5720	7201	5132	6163	7245
Dhx16	2348	1123	1385	3468	1580	1440	3283	4935	3439	4032	1228	1673	1982	1624	2183
Dhx29	467	277	400	1480	656	483	854	1164	809	810	307	449	378	478	589
Dhx30	2256	1425	1476	3820	2052	1666	2752	3778	2893	4041	1541	1673	1827	1665	2137
Dhx32	604	389	338	755	388	349	758	1014	725	960	373	472	581	453	468
Dhx33	344	184	243	1313	510	359	493	677	507	608	230	310	355	261	351
Dhx34	495	419	286	1362	453	412	856	1130	922	1495	373	507	593	501	816
Dhx35	366	214	178	870	360	278	415	514	385	704	236	347	363	236	298
Dhx36	1670	1759	1593	3613	2106	2079	3782	4536	3483	2185	2095	2302	1495	1883	2657
Dhx37	541	308	262	1370	420	381	650	826	608	1325	269	349	445	391	315
Dhx38	1550	815	1073	3053	1096	1048	2505	3578	2433	3260	850	1218	1293	1075	1467
Dhx40	878	638	619	1739	812	997	2491	3061	2387	1692	959	1388	902	819	1388
Dhx57	1660	1232	1152	3147	1498	1437	2310	2713	2026	2266	1227	1456	1430	1195	1425
Dhx58	38	35	31	95	15	24	109	120	109	187	32	63	64	31	45
Dhx8	2298	1774	1759	4442	2165	1857	4027	5242	3897	4854	1814	2142	2041	2294	2698
Dhx9	7777	4273	3617	16146	4686	2713	11941	11363	9478	9516	4752	2865	7240	4600	4137
Diablo	959	569	604	1713	775	709	1178	1615	1329	1869	582	861	917	698	976
Diap1	4772	3442	2566	9457	3645	2973	4247	4271	3554	8311	3008	2799	3639	2779	2976
Diap2	160	272	248	432	255	272	780	913	703	245	260	275	179	341	372
Diap3	315	42	275	1323	880	641	2147	2592	2048	974	528	892	412	565	706
Dicer1	3060	2297	1953	5075	2721	1824	5513	6303	5003	3437	2362	2000	2604	2817	2558
