ID	Control.1	Control.2	Control.3	Control.4	Model1.10	Model1.7	Model1.8	Model1.9	Model2.1	Model2.2	Model2.3	Model2.4
Ifi44	2.61863975661836	2.93055087775608	3.69919329451053	3.38232709201948	8.49258226713017	8.70753453452647	8.50122065250293	8.90852990063246	4.54740912369792	5.05521827635799	4.00214359262011	4.23451476049425
Psme2b	3.92754059625376	4.34669871710391	4.19106929213573	4.26932966861543	6.72549590822079	6.61236285306264	6.79356512664978	7.01865981101066	4.6402225022236	4.82418649854015	4.70809012293161	4.50058961408692
Fcgr1	1.38825263660638	1.54039444267513	1.61584103264743	1.26701471305512	5.8887860688259	5.89371346509737	5.52208222614212	6.59217869238164	3.26624079843083	3.45609848244234	3.39048657029166	3.12257383543106
Trim25	2.81203207115864	2.61154258748905	3.23947956949614	3.33533125004303	6.68298521994036	6.2695592056181	6.35163121513954	6.64187524388212	4.19787156631746	4.2899926978314	4.48368729364492	4.2872084392094
Usp18	1.76999822308899	1.66704851787672	2.79164436485849	2.45891298978776	7.12040734656267	7.31237275737445	7.57701406224894	7.83911025498416	4.08918235609892	4.53790087574046	4.11708797422723	3.7993361369172
Ifi47	1.43601084684149	2.47968674669493	2.41926051667205	2.36843831482151	7.85195868862436	7.46709461066552	7.24805390357593	7.96249604015221	2.91641239227013	3.78111543146576	2.79554559357644	2.80687511078195
Parp14	2.04101651042513	2.08517029694473	2.44034860404777	2.02773922775251	6.73917615598827	6.36450665284313	6.68536830315854	7.33200256896713	3.85844289648541	4.12228034952233	3.28516580921509	3.9080139457109
Il18bp	1.91186206758096	1.99144456387051	2.63583273430838	2.24673119737328	6.8100242062416	6.05532463793483	5.98185708850814	6.4187095347946	2.22159476318082	2.97154265882166	2.30730493627879	2.63682479603312
Apol9a	-1.61283971790447	-1.60522510395257	-0.681967088060818	-1.04407982128261	3.89627125413945	3.58454162078965	3.18530695146297	3.90058214897469	-1.16260217610806	-0.97550082914839	-0.943721646039722	-1.11411867503086
Tgm2	3.10577398481227	3.21946221317187	3.59019992487843	3.50418863152025	7.50295622895961	6.77921241724719	6.87322694561503	7.37637712151733	3.89477788684038	4.56541460664269	4.1712988791496	4.34910297135803
Tmem106a	1.00064780007139	1.07589760554095	1.75700007729852	1.21603849214848	5.68442704848735	5.52228539691	5.22637429279644	5.99654520925849	2.82898264852034	3.30759962639084	2.98234563249725	2.86965352349562
Stat1	3.70195799562933	3.97453405943686	4.01952131140458	3.9795511582312	7.38732435025161	7.82046433023778	7.96859663536268	8.31610164804878	5.71113925649653	5.59325512249557	5.35936361454004	5.05052209306556
Tspo	2.95001090767612	2.78916062529441	2.70716717279118	3.26183610769773	7.68563207819698	7.11895078268504	6.58462158893082	7.32494407343317	4.09544032969132	4.54344575937148	4.12321298728975	4.19215736940569
Socs3	1.38825263660638	1.24788836171105	1.97499614856001	1.65928111641971	6.80940678331379	6.47563415877553	5.73477876069442	6.74701085526987	3.61882229714092	3.91547056910054	3.79522417220773	3.48532289051868
Isg20	0.64190355326548	1.01368791621054	1.13654084303256	1.26701471305512	5.38294045765616	6.07951767708126	5.26983990462635	6.41738281734361	1.97239702063623	1.75320798218121	1.70111859743748	1.40083279477019
Stat2	4.71309289627448	4.93020022197655	4.91449974960395	4.64186050693423	7.94146333280464	7.45296554966198	7.39821474892112	7.79125807677573	5.49147377200589	5.43818503708277	5.27385218212866	4.9740124288561
Dhx58	0.558056306161193	0.88059220351477	1.4593574650313	1.36386233810096	5.07099527599565	5.01744020062514	4.83242397727173	5.26775033894642	1.49280618893289	2.15202583797813	1.37132288063878	1.48344253734179
Oas3	-0.381825707094098	0.386619222748138	-0.218266866193667	-0.61693128320299	4.26024659163029	4.35003658755949	4.16181198922455	4.63018466478911	0.830669615003297	0.577780305761011	0.413593116452794	-0.232763897194736
Apod	7.55379663965024	7.72961482508524	7.98373871075748	8.02511816242992	11.1302334019232	11.1662580772175	10.621160954181	10.6041991236165	8.1115226964162	8.43304257968088	7.93556034793205	7.92008502832421
Psmb8	2.81203207115864	2.2827434065887	3.55195882422389	3.5460682122609	8.64690768372694	7.97246691098024	8.20527940713672	8.44442068503933	4.49629997439163	5.02778868737265	4.80271615669817	4.76284899703628
Tlr3	3.45776958240396	3.539475167851	3.47229439121564	3.2743482547446	6.01732007856146	6.17242606874057	6.55637741529126	6.39463992377912	4.30435568492375	4.57085494265389	4.26291411190165	4.49562229260234
Oas1a	0.16333776133992	0.88059220351477	2.03167526121225	0.865342839531381	6.7176199839904	6.62885084124733	6.53092276460631	6.9478293183077	3.08941723600893	3.71386052101732	3.04820835775436	3.44466300945015
Ms4a6d	0.374154416339656	1.13553530709172	1.97499614856001	1.76945202933988	6.51744706381382	6.43245533622957	6.01576238359278	6.653191293555	3.27729281488635	3.72366245971201	3.12346905222525	3.35973506402862
Epsti1	0.469033650977809	0.88059220351477	0.649335318274132	0.306745758173502	5.03341970289388	4.91360705990692	4.7580621910281	5.6463183483781	2.3317146502953	2.15202583797813	2.12398104578913	2.65476062826864
C1ra	0.721144227380779	1.95879890136019	1.6524466014038	1.8718033865563	6.35008475886324	5.90819464711699	5.86271397566346	6.73747351114697	3.20967389151067	3.08234820596398	3.20658161051271	2.83860576301675
Serping1	2.65944782714304	3.02818353768229	3.38797252152559	3.2990516356989	7.39186809335553	6.77822731342892	6.9268229159138	7.14186170437497	4.03160443053815	4.87784354422574	4.63709796676015	4.71663679821719
Eif2ak2	1.97788409389315	2.5471205219753	2.85583605044022	2.52322988084814	6.02797408537512	6.30555885210255	6.39766773560896	6.95607636500863	3.52920594617744	3.6739729125433	3.89166622079655	3.58222510297107
