	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell3705	19604	3878	KO	B	0.862068965517241	TRUE	4	4.47973604126621	-3.99767498355804	0	0.412175860287919	1.11198905886591	0	0	0	1.11198905886591	1.11198905886591
cell3706	18329	3834	KO	B	1.30940040373179	TRUE	4	4.77733583374668	-3.14893726688324	0	0	0	0	0	0	1.45243339980724	2.02115040078103
cell3707	23839	4394	KO	B	1.15776668484416	TRUE	4	5.44749517365146	-3.63933758121429	0	0.814675216604066	0.985041393849815	0	0	0	1.13056415229901	1.79737172352141
cell3708	21238	4270	KO	B	0.918165552311894	TRUE	4	4.02941007538486	-3.12086872440277	0	0	0.663568131385869	0.880689414278866	0	0	1.21023435393006	1.34159108801292
cell3709	17613	3912	KO	B	0.505308578890592	TRUE	4	6.71882123871494	-2.1845856128305	0	0.758712469570622	0.449649410573193	0	0	0	0.994468567443373	1.98036498084877
cell3710	19862	4090	KO	B	0.629342462994663	TRUE	4	5.28348321839023	-3.12634233814178	0	0.407778410623305	0.696615130659379	0.407778410623305	0	0	1.39149178666701	1.25771350917367
cell3711	22372	4254	KO	B	0.91632397639907	TRUE	4	4.93823404236484	-3.05679373126922	0	0	0	0.850561920406165	0	0	0.369483674674114	2.04184475508679
cell3712	16002	3595	KO	B	0.668666416697913	TRUE	4	5.0769383422916	-3.3071933208078	0	0	0.810860778040581	0.810860778040581	0.485459743712045	0	1.25267368995519	2.21090660581672
cell3713	15920	3446	KO	B	0.791457286432161	TRUE	4	4.99045247955967	-3.21703485828338	0.487438691067837	0	0	0	0	0	0.487438691067837	1.89510791177246
cell3714	25171	4534	KO	B	0.734972786142783	TRUE	4	6.27605695648838	-3.2860465465158	0	0.334529341210404	1.3299827353468	0	0	0	1.68084810536454	1.5207254422647
cell3715	20475	4298	KO	B	0.625152625152625	TRUE	4	6.54662675781894	-2.48252920490203	0	1.08302542675696	1.48586893971067	0	0	0	1.48586893971067	2.05893353745871
cell3716	17459	4049	KO	B	0.824789506844607	TRUE	4	5.9088475219791	-2.41147903781829	0	1.71957650174034	1.71957650174034	0	0	0	1.61131483711846	1.61131483711846
cell3717	33247	5085	KO	B	1.56705868198634	TRUE	4	4.8905894271915	-4.10185579639373	0	0.262963329342852	0	0	0	0	1.13315963826156	1.31022593438838
cell3718	11551	2980	KO	B	0.502121028482382	TRUE	4	5.9222638122623	-2.65430549961029	0	0.623650205878892	1.28014957509399	0	0	0	1.00483327089946	1.82363846883864
cell3719	22462	4123	KO	B	1.11744279227139	TRUE	4	4.88270349426914	-4.16588692050872	0	0.368245181942034	0.368245181942034	0	0	0	1.77447081929978	1.30051258862763
cell3720	29040	4640	KO	B	0.81267217630854	TRUE	4	4.32552738114048	-4.41502432208953	0	0.295912571588296	0.866011856818577	0	0	0	1.81893505460702	1.32304059743168
cell3721	22653	4378	KO	B	1.01973248576348	TRUE	4	4.62030620499301	-3.51819376331268	0	0.632805317951103	1.16540238954907	0	0	0	1.29435882775954	1.60402000419271
cell3722	26484	4569	KO	B	1.33665609424558	TRUE	4	4.13221330567051	-3.29195646625457	0	0	0	1.06054079156811	0	0	1.06054079156811	1.48121314745549
cell3723	11335	3479	KO	B	0.749889722099691	TRUE	4	6.31949968262363	-2.98635773044525	0	0	0	0.632453632680471	0	0	2.08663878176915	1.29381431474515
cell3724	18026	3821	KO	B	0.865416620437146	TRUE	4	6.73668928070713	-2.32959846836029	0	0	1.46522694434549	0	0	0	0	1.16907602582866
cell3725	43014	5877	WT	B	0.688148044822616	FALSE	4	6.17143602295566	-3.12873319965301	0	0.771224375359222	1.12892874174108	0.657483624172625	0	0	1.50123708103538	1.98472227387558
cell3726	14792	3719	KO	B	1.52109248242293	TRUE	4	6.5385558120792	-1.44653109889923	0	0	0.516434526400623	0	0.516434526400623	0	1.47709564486187	1.95789093901052
cell3727	20389	4060	KO	B	0.765118446221002	TRUE	4	4.88963050766635	-2.42884687763153	0	0.904777357553368	0.399085161091425	0	0	0	2.28526493774979	1.59405709976748
cell3728	28729	5003	KO	B	0.786661561488392	TRUE	4	2.77859516068149	-2.34333423953949	0	0	0.298681607852085	1.70929127999472	1.00810450991391	1.00810450991391	1.70929127999472	1.33095148231036
cell3729	29801	4891	KO	B	0.869098352404282	TRUE	4	4.50017518921543	-4.2250924525827	0	0	0.289350087607576	0	0	0	1.67938734113956	1.47146055840525
cell3730	21642	4281	KO	B	0.706958691433324	TRUE	4	5.9744402877872	-2.62805609088836	0	1.04670758523942	0.654473402183546	0	0	0	1.04670758523942	1.6406614520841
cell3731	34097	5191	KO	B	0.809455377305921	TRUE	4	5.29697389527011	-3.86148170810638	0	0.776165641772789	0	0	0.257182349048241	0	1.83721977947389	1.68625338873496
cell3732	30356	4698	KO	B	0.994860983001713	TRUE	4	4.65895481033969	-4.02330641132293	0	0.687266171109739	1.37745982603549	0	0	0	1.09076323170336	1.37745982603549
cell3733	33630	5283	KO	B	0.758251561106155	TRUE	4	4.99576635285068	-3.57585052829681	0	0	0	0.466690087242656	0.26032646138334	0	1.30187470826666	1.84882702090996
cell3734	23049	4516	KO	B	0.763590611306347	TRUE	4	5.94743986054111	-2.77966122013031	0	0.360368924100248	0.624716617246623	0	0	0	1.6749602654727	1.28180841049401
cell3735	25385	4405	KO	B	0.496356115816427	TRUE	4	5.87231988831211	-3.05561737399994	0	0.33212955312839	1.32376288498812	0	0	0	1.32376288498812	1.98827629531045
cell3736	30303	5276	KO	B	0.851400851400851	TRUE	4	4.05731220169712	-3.99502424579559	0	0.688135136224212	1.09192396494729	1.09192396494729	0	0	2.111425466468	1.66581905683477
cell3737	34258	5038	KO	B	0.513748613462549	TRUE	4	6.01083917542148	-3.51047090869842	0.256116031997881	0.459830332910605	1.01211558928677	0	0.256116031997881	0	0.899963406138305	0.77362540191078
cell3738	13766	3294	KO	B	1.94682551213134	TRUE	4	4.31091089173008	-3.89194254260955	0	0.546054203891662	0.546054203891662	0	0	0	1.80582541325839	1.156655476256
cell3739	18337	4083	KO	B	0.85619239788406	FALSE	4	4.95348567886997	-2.9499664722055	0	1.45209915632418	1.15731566385581	1.15731566385581	0.737494610727648	0	1.31553047100029	1.31553047100029
cell3740	18329	3947	WT	B	0.807463582301271	TRUE	4	6.20403165741611	-2.34931473117767	0	0.435401509959331	0.435401509959331	0.435401509959331	0	0	1.45243339980724	2.02115040078103
cell3741	17988	3843	KO	B	0.950633755837225	TRUE	4	4.93012256546665	-3.18262247425018	0	0.442070977975189	1.58749557263502	0.442070977975189	0	0	0.981246110744221	0.747565451472245
cell3742	8550	2613	KO	B	1.05263157894737	TRUE	4	6.06322069092441	-1.15582565647064	0	1.20572565315335	1.73666291178867	0	0	0	1.20572565315335	1.20572565315335
cell3743	33810	5121	KO	B	0.925761608991423	TRUE	4	4.9873501770084	-3.60706667285858	0	0.259105485106012	0.464702706781534	1.63720613185559	0.90779571539102	0	0.464702706781534	1.12180568848536
cell3744	19729	4400	KO	B	1.01880480510923	TRUE	4	6.14069051666904	-3.44850115161834	0	0	0.410033365873615	0	0	0	1.8833580247231	1.51470438219029
cell3745	15491	3666	KO	B	1.07158995545801	TRUE	4	6.44584817810703	-2.10546306949554	0	0	0.82901993308847	0	0.498066238565288	0	1.2759616353163	1.70815189712004
cell3746	22579	4036	KO	B	0.872492138712963	TRUE	4	4.33949298782993	-2.79530195575653	0	0.366647638264545	0.845296529721422	0	0.366647638264545	0	1.01940948780569	1.29673514015383
cell3747	15728	3611	KO	B	0.78204476093591	TRUE	4	5.50281495972324	-2.41202644687591	0	0	0	0	0	0	1.43008245090128	1.69573692995739
cell3748	12103	3684	KO	B	0.892340741964802	TRUE	4	2.34584016724277	-1.93672303539215	0	0	0	2.22596473578336	0.975496127956507	0	1.24666564130044	1.63534094119486
cell3749	27381	4377	KO	B	0.57704247470874	TRUE	4	4.61031932755161	-3.41132788043914	0	0	0	0.311313211740674	0.739863895873657	0	0.900513736864596	1.61290874563632
cell3750	28694	4966	KO	B	0.798076252875166	TRUE	4	6.4090859405582	-3.29514173847137	0	0.298996507580097	1.50074945179251	0.298996507580097	0	0	1.98418102259263	0.872973817493532
cell3751	9679	3069	KO	B	1.28112408306643	TRUE	4	5.86569662018467	-2.57502226215301	0	0	0.709593487158001	0	0	0	0.709593487158001	1.819021609556
cell3752	17813	3843	KO	B	0.555773873014091	TRUE	4	6.20019311829258	-2.08140377384124	0	1.17728513607355	1.59528102565168	0	0.445575009482607	0	1.17728513607355	1.70312896473215
cell3753	32286	5376	KO	B	0.984947035866939	TRUE	4	4.59001274033237	-3.69660715442596	0	0	0.657102981703826	0.269822362267339	0	0	1.61472651105228	1.33172886379696
cell3754	24907	4855	KO	B	0.807002047617136	TRUE	4	6.41678972168613	-3.28744034152923	0	0.589444796140642	0.957806587676647	0	0	0	1.94910551563331	1.52897421707978
cell3755	18887	4032	KO	B	0.89479536188913	TRUE	4	6.080164622504	-2.46596292835174	0	0	1.13714649851011	0	0	0	1.13714649851011	1.13714649851011
cell3756	28068	4637	KO	B	0.844377939290295	TRUE	4	5.52672738953281	-3.20807127338348	0	0	1.14347910596088	0	0	0	1.02295010437891	1.51793123546625
cell3757	27340	4671	KO	B	1.07534747622531	TRUE	4	6.30288286133457	-3.18082813602386	0	0.311714306817773	0.311714306817773	0	0	0	1.36765053545288	1.97657729813322
cell3758	13525	3418	KO	B	0.650646950092421	TRUE	4	6.20288438721347	-1.66420344692169	0	0	0.907751604435197	0	0	0	1.69308565970751	2.21190373999927
cell3759	19252	3948	KO	B	0.8570538125909	TRUE	4	5.21932191773105	-2.35201839786468	0	0.418332995967842	1.41501769759115	0	0	0	1.41501769759115	1.64004711905691
cell3760	17624	3830	KO	B	0.896504766227871	TRUE	4	5.94192666931797	-2.65248255115448	0	0.449423350587649	0	0	0.449423350587649	0	1.8093820616832	1.8093820616832
cell3761	18476	4221	KO	B	0.698203074258498	TRUE	4	6.72798890991855	-2.80718092304168	0	1.31001072634417	0.432589034673268	0	0	0	2.3224980852588	1.77005635778755
cell3762	27999	4867	KO	B	0.735740562162934	TRUE	4	5.32283086701084	-3.26141552310882	0	0.305391048338926	0.728256973766755	0.887324203933902	0.305391048338926	0	1.43850735460176	1.73041990864129
cell3763	27032	4837	KO	B	1.13199171352471	TRUE	4	3.2697135917728	-3.71986011844574	0	0	1.04719957052599	1.04719957052599	0.314761054316981	0	2.17117380370566	1.16925451770679
cell3764	21971	4587	KO	B	0.882982112785035	TRUE	4	4.72216482086826	-3.20788149219452	0	1.03694313170999	1.03694313170999	0.647255501630187	0	0	1.18653985812729	1.31664212420151
cell3765	23939	4496	KO	B	1.00672542712728	TRUE	4	4.51762981339145	-3.61837057453094	0	0	0	0.60729338022772	0.60729338022772	0.349055867449451	0.982420575684223	1.46829526043587
cell3766	25717	4828	KO	B	0.723256989539993	TRUE	4	5.08733434601474	-3.56610254627166	0	0	0.328474514099222	1.07985045408504	0	0	1.80088800538876	1.58688109727309
cell3767	20415	4238	KO	B	0.979671809943669	TRUE	4	6.16466302796054	-2.47353367191253	0	0.39866598300113	0.90401882507364	0.682931078414269	0	0	1.4881402580654	1.4881402580654
cell3768	21999	4295	KO	B	0.781853720623665	TRUE	4	3.56205625458408	-2.54583935123382	0	0	0	2.31167587957786	0.374707654531663	1.03612125810299	1.03612125810299	1.93287694409749
cell3769	10526	2944	KO	B	1.32053961618849	TRUE	4	5.53877515717197	-1.09515885692535	0	0	0.667843988291935	0.667843988291935	0	0	2.15178871533129	2.35140240046655
cell3770	12506	3050	KO	B	0.919558611866304	TRUE	4	5.83029146118808	-1.18860272746978	0.587573411182699	0	1.43471891963664	0.587573411182699	0	0	0	1.75746078791191
cell3771	34915	5007	KO	B	0.698840040097379	TRUE	4	4.99079389496494	-3.79684500080047	0	0	0.452869998942311	0.251855278383171	0.620162185514218	0	1.48996004310528	1.48996004310528
cell3772	33394	5174	KO	B	0.787566628735701	TRUE	4	5.70089120789218	-3.67771057468353	0	0.640992976614056	0.261944939574415	0	0.261944939574415	0	1.70326060078421	1.5246335316125
cell3773	28706	4724	KO	B	0.836062147286282	TRUE	4	3.70362062378574	-4.14186338764129	0	0.298888466628971	0.298888466628971	0	0	0	1.41954368778794	1.57525042506797
cell3774	40278	5493	KO	B	0.454342320869954	TRUE	4	4.93727750702549	-4.08237556796966	0	0.403161780522875	0.689690196627957	0	0.221762191498827	0	1.44162698134572	1.24782075378579
cell3775	34600	5475	KO	B	1.04913294797688	TRUE	4	5.81431837006259	-3.7991719661325	0	0.25388017696234	0.456180200687181	0	0	0	1.61864396134182	1.10628986956714
cell3776	15212	3670	KO	B	0.894031028135682	TRUE	4	6.74995775147129	-2.1489000735849	0	0.839302343532647	1.59822620262721	0	0	0	2.1847593270006	1.59822620262721
cell3777	22923	4524	KO	B	0.750338088382847	TRUE	4	6.25944108887363	-2.68326954227386	0	1.00977098331304	0.836697253648839	0	0	0	1.15726331660707	1.67941736974872
cell3778	21359	4092	KO	B	1.04405636968023	TRUE	4	6.47015733643222	-2.5540457187265	0	1.33739826409599	0.877366992270503	0	0	0	1.33739826409599	1.7372798985424
cell3779	12384	3228	KO	B	0.864018087855297	TRUE	4	4.39934129639316	-3.10810093265472	0	0.591941101075754	1.76557996364628	0	0	0	1.23036561568234	1.44219588434135
cell3780	16158	3668	KO	B	0.705532862978091	TRUE	4	5.34672422333408	-2.54795841556488	0	0.805482941202306	1.04965501064734	0	0	0	0.481739788009444	1.40963053745492
cell3781	31387	4917	KO	B	0.678624908401568	TRUE	4	5.20677633209873	-3.63188366275726	0	0	0	0.276573027409658	0.276573027409658	0	1.35258999442331	1.63741141291425
cell3782	32505	4898	KO	B	0.966005229964621	TRUE	4	4.52728624268222	-4.57046560626922	0	0	0.479514479501525	0	0	0	1.14851765422011	1.24160374144486
cell3783	31321	4831	KO	B	0.638549216180837	TRUE	4	5.97877759857822	-3.35782150608001	0	0	0.493811226045161	0	0.277082046220762	0	1.07009197301226	1.75598014207574
cell3784	26853	4578	KO	B	0.811827356347522	TRUE	4	5.14613313599277	-3.53128771167694	0	0	0.316559479890915	0	0	0	0.912118632573496	1.3810765115572
cell3785	20833	4209	KO	B	0.806412902606442	TRUE	4	6.55923623963047	-2.23035435062347	0	0.672952310071801	1.22378672585669	0	0.392047277034777	0	1.22378672585669	1.57692741506595
cell3786	18822	3630	KO	B	0.371905217298906	TRUE	4	5.4887864105289	-3.35348038059173	0	0	0.723960697812303	0	0	0	0.723960697812303	1.75468712142675
cell3787	19658	4051	WT	B	1.22087699664259	TRUE	4	4.62870378418613	-3.25013880115448	0	0	0.41124752340844	0	0	0	1.11014387508155	0.926675125262306
cell3788	33327	5288	KO	B	1.07720466888709	TRUE	4	6.7330605499332	-2.26789955478607	0	1.30847148503259	1.38643687804402	0	0	0	1.64881210451058	1.64881210451058
cell3789	19042	3864	KO	B	1.23411406364878	TRUE	4	6.12488431854892	-2.31466297489105	0	0.422095992245046	0.422095992245046	0	0	0	0.717990923877402	1.54246110266644
cell3790	28745	4759	KO	B	0.647069055487911	TRUE	4	4.79470558090854	-3.51631883960662	0	0.528138789005981	0.714742203944282	0	0.298537876140659	0	1.00775094455129	1.41851449768989
cell3791	24533	4487	KO	B	0.835609179472547	TRUE	4	5.66842622681308	-3.25557474475799	0	0	0.798786872994523	0	0	0	1.11122283031302	1.77348870516371
cell3792	25998	4657	KO	B	0.611585506577429	TRUE	4	5.43119592590976	-3.7739205775827	0	0	0.931604826551149	0	0	0	0.931604826551149	1.65462056775974
cell3793	14157	3524	KO	B	0.282545737091192	TRUE	4	5.26403875275302	-2.90710691791473	0	0	0.534364991758819	0	0	0	1.1375422634662	0.880758341637379
cell3794	8905	2489	KO	B	1.04435710275126	TRUE	4	5.26516313477207	-2.63225368839203	0	0	1.17740167379281	0	0	0	0	2.30095546716629
cell3795	19884	3837	KO	B	0.79963789981895	TRUE	4	6.02888460083652	-2.00588516574798	0	0.69605985273412	1.10249396935516	0	0	0	0.919784921826075	2.01994627335402
cell3796	27826	4685	KO	B	0.600158125494142	TRUE	4	5.28934450073886	-3.31343321186004	0	0	0.307025861446578	0	1.02850473016691	0	1.35454798135826	1.52469912871155
cell3797	23742	4419	KO	B	0.783421784179934	TRUE	4	5.5563199035709	-3.36749176364837	0	0	0.611063107309018	0.816949187089771	0	0.351497720552441	1.56668709405614	1.65095312126314
cell3798	17848	4336	KO	B	1.50156880322725	TRUE	4	4.29059047623325	-2.0656686244577	0	0	0.751686681198616	0.751686681198616	0	0	1.59371659116518	0.986137862612025
cell3799	19942	4075	KO	B	1.4792899408284	TRUE	4	4.06754846497226	-3.245658439216	0	0	0.406434116621044	1.61176195731642	0	0	1.61176195731642	1.61176195731642
cell3800	22626	4590	KO	B	1.02978873861929	TRUE	4	4.61371726914096	-2.59594683032928	0	0.366009829009836	0.633364708234772	0	0.633364708234772	0	1.69003938529194	1.51199162443522
cell3801	21038	3959	KO	B	1.31191177868619	FALSE	4	5.51121396942783	-2.52356819492279	0	1.06516629472258	1.56916635738831	0	0	0	0.668168140414473	1.21688461881737
cell3802	30000	4916	KO	B	0.656666666666667	TRUE	4	5.27990789337802	-3.74494366031585	0	0.287682072451781	0.287682072451781	0.287682072451781	0	0	0.693147180559945	0.980829253011726
cell3803	30344	4747	KO	B	0.725019773266544	TRUE	4	5.13257856293369	-3.81361917835174	0	0.687462718164732	0.506280641838035	0	0	0	1.29100395438662	1.45757830501406
cell3804	49815	5785	KO	B	0.708621901033825	TRUE	4	6.30759782715488	-3.59605984073578	0	0.182940322126048	0.957794216500048	0.337532742897338	0	0	1.57155164926706	1.48447014000225
cell3805	13269	3342	KO	B	0.994799909563645	TRUE	4	5.78634900971103	-2.51939110141693	0	0.561691515050511	1.83664584349438	0	0	0	0.561691515050511	1.83664584349438
cell3806	24136	4376	KO	B	0.654623798475307	TRUE	4	5.07239980621982	-3.29549078327118	0	0	0.807794897073164	0	0	0	0.807794897073164	1.91699085060714
cell3807	23457	3925	KO	B	1.07856929701155	TRUE	4	4.27891750260044	-4.28918222766815	0	0	0	0.355092074433876	0.355092074433876	0	1.26916257134382	1.38233247965278
cell3808	14769	3475	KO	B	0.521362312952807	TRUE	4	5.25831575318027	-2.97228531223236	0	0	0.856195795736354	0.856195795736354	0	0	1.10898554617327	1.95922753715815
cell3809	20285	3902	KO	B	0.660586640374661	TRUE	4	4.7920147888248	-2.67761139255462	0	0.686097494570749	0.907825125238033	0	0	0	0	0.907825125238033
cell3810	17764	3761	KO	B	1.45237559108309	TRUE	4	4.00562591477085	-3.16509727817474	0	0.754182330440414	0.989098280241282	0.754182330440414	0	0	1.59747745634985	0.989098280241282
cell3811	22009	4094	KO	B	0.981416693170976	TRUE	4	4.36764736099887	-3.84219364505706	0	0	0.374565652643825	0	0.646432420429215	0	1.79141864146774	1.53360958407335
cell3812	18544	3925	KO	B	1.17018981880932	TRUE	4	6.10411138458896	-1.51462988239227	0	1.85513791307691	1.4435126907183	0	0	0	2.01104167810805	1.93612497157948
cell3813	19589	3923	KO	B	0.944407575680229	TRUE	4	4.7637845985477	-2.91752151828704	0	0.928800850740537	0.928800850740537	0	0.412434486438703	0	1.26763832467152	1.62608353252308
cell3814	12346	3000	KO	B	0.818078729953021	TRUE	4	5.67240972443271	-2.0655899463266	0	0	1.76812804077714	0	0	0	0.593315210153442	2.01221026825417
cell3815	28296	4665	KO	B	0.876448968052022	TRUE	4	4.85391731186557	-3.41204170566497	0	1.01777606422034	1.1379743545674	0	0	0	0.881130747804826	1.1379743545674
cell3816	31036	4838	KO	B	0.99561799200928	TRUE	4	5.40949697418857	-3.84047798496185	0	0.497383445027794	0.676316032997786	0	0	0	0.497383445027794	1.51386735590701
cell3817	23122	4735	KO	B	0.817403338811521	TRUE	4	6.62745447083164	-2.9151649890512	0	0.623248762461231	1.39312591616259	0	0	0	1.67239118846005	1.5876823370783
cell3818	25283	4554	KO	B	0.984851481232449	TRUE	4	6.40384645386386	-2.93085293155609	0	0.582799452993262	0.782333214038105	0	0.582799452993262	0	1.60044294519204	1.74855133129561
cell3819	9093	2657	KO	B	0.7808204113054	TRUE	4	6.62896127625156	-1.79180363994537	0	0	1.8716075873369	0	0	0	0.741816888987552	1.4584385360871
cell3820	21093	4252	KO	B	1.11411368700517	TRUE	4	4.56538791580844	-3.40943579059539	0	0.884706269639675	0.388041481579811	0.884706269639675	0	0	1.56709965336636	1.46293973078968
cell3821	19420	4135	KO	B	0.968074150360453	TRUE	4	5.83900995178867	-2.45753006320892	0	0.707969838861395	1.63304983780335	0	0	0	1.11832740717128	1.27387154757046
cell3822	18705	3754	KO	B	0.652232023523122	TRUE	4	4.96325941010166	-4.11744074207244	0	0	1.14373403428207	0	0	0	0.95699082642281	1.30103110898363
cell3823	27566	4658	KO	B	0.906914314735544	TRUE	4	5.88102312012363	-3.40139011722503	0	0.736348986369306	1.03454605757376	0	0	0	1.03454605757376	1.60752067267123
cell3824	24277	4159	KO	B	0.836182394859332	TRUE	4	3.76126832886386	-3.22486929279266	0	0	0.973672468892042	0.34494517524122	0	0	0.600935954794779	0.973672468892042
cell3825	22140	4195	KO	B	1.09304426377597	TRUE	4	5.8020474426334	-2.8097019610971	0	0	0	0	0	0	1.1812227481949	1.52895849393901
cell3826	11542	3050	KO	B	0.710448795702651	TRUE	4	5.64074392243076	-1.90445904117523	0	1.00532743477659	0.624011961639804	0	0	0	0	1.82429213353936
cell3827	14374	3569	KO	B	1.00180882148323	TRUE	4	6.17751951142002	-2.39692358356414	0	1.12723269328414	1.33046507938889	0	0	0	1.76983827822436	1.12723269328414
cell3828	21442	4065	WT	B	0.895438858315456	TRUE	4	3.57424278183628	-2.6127934871286	0.658943243900843	0.382792963335274	0	0	0	0	1.05274202495889	1.55413559114884
cell3829	21129	4071	KO	B	1.23526906147948	TRUE	4	4.92250461502719	-3.58239988666473	0	0	0	0	0	0	1.56575042517117	1.74620958897009
cell3830	19647	3976	KO	B	0.794014353336387	TRUE	4	4.90885372086216	-3.33995251041351	0	0	0.702090628271439	0.411436284982174	0	0	1.11051919899711	2.03035453241793
cell3831	29312	4769	KO	B	1.00300218340611	TRUE	4	5.09663743897129	-3.87110094409881	0	0	0.860621062886806	0	0	0	0.995392452786498	1.48423110040434
cell3832	26740	4915	KO	B	0.504861630516081	TRUE	4	5.57542295380283	-3.2431531367868	0	0	0.317705508113182	0.317705508113182	0	0	2.04530139346654	1.28586639572104
cell3833	23286	4407	KO	B	1.23679464055656	TRUE	4	5.35703630371738	-2.95135406833587	0	0.35728456654971	0.35728456654971	0.35728456654971	1.48964951773653	0	1.38781772138874	1.38781772138874
cell3834	14139	3706	KO	B	1.04675012377113	TRUE	4	6.5834195129459	-1.7129583774179	0	1.65700477302624	0.881503489173525	0	0	0	1.99678960862072	2.08848006728999
cell3835	14585	3846	KO	B	1.38498457319164	TRUE	4	5.9185492507999	-1.95755581241546	0	0.522142897544218	0.522142897544218	1.48798858236429	0	0	2.29387396658436	1.48798858236429
cell3836	20007	4268	KO	B	0.939671115109712	TRUE	4	4.48824376984287	-2.76225380283294	0	0.916080783310782	0.692972226484944	1.09837900976546	1.09837900976546	0	1.70446178781307	2.19691352670467
cell3837	24763	4636	KO	B	1.03783871098009	TRUE	4	5.70341176911045	-3.38859657627044	0	0.793664179790746	1.23050852318441	0	0	0	2.11250260913801	1.10497250655002
cell3838	24451	4698	KO	B	1.03063269395935	TRUE	4	6.07712907715488	-3.0069151340097	0	0	0.342866909734565	0	0	0	1.23950036962992	0.800630099803229
cell3839	21561	4331	KO	B	0.853392699782014	TRUE	4	5.8365180007999	-2.86777738910614	0	0.871879445608245	1.54977347602981	0.656276100384826	0.656276100384826	0	1.44611928967022	1.54977347602981
cell3840	22471	4157	KO	B	0.502870366249833	TRUE	4	5.84038610382724	-3.58492616992889	0	0	0.368121794310099	0	0.368121794310099	0	1.02247686007125	1.84691288123626
cell3841	28091	4818	KO	B	0.875725321277277	TRUE	4	5.58917684479404	-2.99772695880828	0	0	1.02242557298947	0	0	0	1.72772157625878	1.66237770933694
cell3842	15071	3746	WT	B	0.670161236812421	TRUE	4	6.33509511871982	-1.52850703578888	0	0	1.29585089437908	0	0	0	1.09546665672688	1.73071383450644
cell3843	34617	5194	KO	B	0.805962388421874	TRUE	4	4.65499658508945	-4.22996429782806	0	0	0	0	0	0	0.624132643182687	1.6182501131918
cell3844	17514	4250	KO	B	1.14194358798675	TRUE	4	6.24264211579013	-2.80807260852752	0	0	0.761713635538117	0.998023843356298	0	0	2.06072516900529	1.6087982194649
cell3845	15805	3835	KO	B	0.860487187598861	TRUE	4	6.36650438233066	-2.75098900180755	0	1.56783790786596	0	0	0	0	2.2882788796803	1.80198853001408
cell3846	14095	3623	KO	B	0.709471443774388	TRUE	4	6.53205270691562	-1.81495742183624	0	1.65952792907607	0.88333062140654	0	0	0	0	2.09121131013231
cell3847	17384	3794	KO	B	0.828347906120571	TRUE	4	5.72798700256992	-2.08865265232025	0	1.19421527587	1.49322979792612	0	0	0	1.49322979792612	1.72311168315317
cell3848	17671	4101	KO	B	0.945051213853206	TRUE	4	6.33139295502353	-2.44629768711029	0	0	0.448460055543943	1.34273284990619	0	0	1.18282956968921	1.80715540359673
cell3849	30270	5001	KO	B	0.650809382226627	TRUE	4	3.99626417084384	-4.18683866840301	0	0.285449651829736	0.688677344461325	0.507251354670857	0	0	2.29452494686541	1.19770942450221
cell3850	38920	5135	KO	B	0.498458376156218	TRUE	4	4.05826826019931	-4.06207470279632	0	0	0.228678053501167	1.34190099168671	0.826228831778192	0	1.02910541048775	1.68044314625029
cell3851	22616	4548	KO	B	1.00813583303856	TRUE	4	4.94882125778842	-3.78847221713958	0	0.366145345125663	0.844362635607761	0	0	0	1.51233624560626	1.60532618113437
cell3852	31422	4830	KO	B	0.801985869772771	TRUE	4	4.42422790451694	-4.54684023242889	0	0	1.06797786518987	0	0	0	0.952137222236929	1.17178174562337
cell3853	16496	3807	KO	B	1.00630455868089	TRUE	4	6.34429426117588	-2.37868122440277	0	0	0.794084738267428	0	0	0	1.95473901037775	1.23105191191143
cell3854	14795	3699	KO	B	0.743494423791822	TRUE	4	6.49509782715488	-2.13195328098236	0	0.516352734088924	0	0	0	0	1.74594729294319	1.62046175197425
cell3855	20352	4136	KO	B	0.682979559748428	TRUE	4	5.70253248139072	-3.487113517341	0	0	1.69049606953122	0	0	0	0.905859153164339	1.85705929641057
cell3856	29874	4814	KO	B	0.943964651536453	TRUE	4	5.34243745728183	-3.47734169345794	0	0	1.3023457178244	0	0.512511287995607	0	0.84970508321463	1.20692085463257
cell3857	15577	3659	KO	B	0.76394684470694	TRUE	4	6.46735448761631	-2.19920114856659	0.495898042804178	0.825903894306299	0	0	0	0	1.07360773596557	2.00414150716054
cell3858	14234	3305	KO	B	1.01166221722636	TRUE	4	6.10378427429843	-1.95474032741485	0	0	0.532123136932251	1.65158879736932	0.532123136932251	0	1.33767454916725	1.89014758176676
cell3859	16003	3884	KO	B	1.56220708617134	TRUE	4	4.64972133560825	-2.68149093967376	0	0.485435711316721	0.810826063653561	1.05593040708998	0	0	1.416923990875	0.810826063653561
cell3860	30388	4784	KO	B	0.832565486376201	TRUE	4	4.26650257034946	-4.14204983097015	0	0.284484917501099	1.09006372158314	0	1.09006372158314	0	1.83501630152003	1.72403039573925
cell3861	23154	4195	KO	B	0.721257666062019	TRUE	4	4.58135814591098	-2.85730985980926	0	0.831025808874414	1.74933880133197	0	0.358995821219138	0	0.358995821219138	1.27852675853118
