	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell50	25496	4550	KO	A	0.662849074364606	TRUE	0	2.42587490006137	-5.45952705722747	0	0	0	0.330898436961573	0.330898436961573	0	1.92909467350835	1.3205627846777
cell51	26463	4645	KO	A	1.07697539961456	TRUE	0	2.3097903244083	-6.47830871921478	0	0	1.06105943275574	0	0	0	1.95248529703604	1.71102530588684
cell52	21268	3947	KO	A	0.88865901824337	TRUE	0	3.18319721146274	-5.47653488498626	0	0.385391614715992	0.879863180225485	0	0	0	1.45659663764123	0.385391614715992
cell53	26423	4510	KO	A	1.04454452560269	TRUE	0	2.85996169968296	-5.88910488468109	0	0	0.32096560024147	0	0	0	1.71226485002436	1.56539858419651
cell54	17776	3737	WT	A	2.25585058505851	FALSE	0	2.84625072403598	-6.3530540881723	0.446323105580665	1.17872423163783	1.33835891708167	0	0	0	1.80220576628253	1.17872423163783
cell55	33586	5018	KO	A	0.836658131364259	TRUE	0	2.70592231674839	-6.34059337955413	0	0.260626684400803	1.38063615171967	0.260626684400803	0	0	1.98136074944702	1.38063615171967
cell56	18475	3910	KO	A	1.19079837618403	TRUE	0	0.303631257254367	-6.38498310428558	0	0.43260804249898	1.44636163589375	0	0	0	2.42340066313878	1.93931586604403
cell57	19043	4190	KO	A	0.819198655674001	TRUE	0	1.6195032112186	-5.61332802158294	0	1.28802991892512	0.717964022878138	0	0	0	2.39584039245302	0.945997884331576
cell58	40509	5474	KO	A	0.78007356389938	TRUE	0	2.03881807251621	-6.93736843448577	0	0	0.908723104081359	0	0	0	1.89878119780507	1.54817526589826
cell59	22407	4200	KO	A	0.932744231713304	TRUE	0	0.33909459038425	-7.27561382633148	0	1.61275280305745	1.02430403852787	0	0	0	1.61275280305745	2.09686704405379
cell60	10573	2889	WT	A	1.41870802988745	TRUE	0	0.372671317297702	-5.9084535060495	1.56511425529163	1.56511425529163	0	0	0	0	1.34479923899979	2.14785257363874
cell61	17552	3957	KO	A	0.814721969006381	TRUE	0	3.05814475937534	-4.7552814899057	0	0	0.760558735575793	0	0	0	2.31409562022533	0.99665594556242
cell62	5271	1913	KO	A	1.10036046291026	TRUE	0	-0.428121376794095	-6.38204006534515	0	0	0	1.90084099868064	1.06373550709797	0	1.06373550709797	2.15044655301494
cell63	13288	3329	WT	A	1.42986152919928	TRUE	0	0.278898667532688	-5.91387085300384	0	1.38884979279988	0.918335599369646	0	0	0	2.30565082831577	0.918335599369646
cell64	21674	4274	KO	A	1.12115899234105	FALSE	0	1.52100582047153	-6.42194179874359	0	0.653764047647205	0.379382769568731	0	0	0	2.00946857656454	1.63947052714166
cell65	10575	2800	KO	A	0.784869976359338	TRUE	0	-0.925374317925686	-5.97215275150238	0	1.34465938846831	1.56496465812147	0	0	0	1.74538954177025	1.74538954177025
cell66	17100	3809	KO	A	0.789473684210526	TRUE	0	-0.144963074486966	-6.92762951236663	0	1.73666291178867	1.92394980709506	0	0	0	1.62797842034984	2.00589571468679
cell67	27065	4689	KO	A	0.624422686125993	TRUE	0	1.40625352783847	-6.42496399265228	0	0.553288244750242	0.907420918105112	0	0	0	1.46448795584052	1.54645738630268
cell68	18973	3950	KO	A	0.727349391240183	TRUE	0	2.63640899582553	-5.99426798206268	0	0.948252209952931	0.719852182799709	0	0	0	2.12571746059791	0.948252209952931
cell69	28264	4787	KO	A	1.00834984432494	TRUE	0	2.10800475998569	-5.96335749011932	0	0	0.302920596321152	0.302920596321152	0.88179363117744	0	1.84167668752782	1.72267561466895
cell70	15860	3360	KO	A	1.45649432534678	TRUE	0	0.148931454855686	-6.82110218387542	0	0	1.68891784658971	0.48889715713701	0	0	1.68891784658971	2.07136996189209
cell71	23899	4327	KO	A	0.958199087827942	TRUE	0	2.64188308640171	-6.08115677219329	0	0	1.25577707739308	0	0	0	1.36838311947232	1.79527504754093
cell72	14285	3494	KO	A	0.777038851942597	TRUE	0	0.780334662634616	-5.73543123584686	0	0.875497905053591	0.530648840114972	0.530648840114972	0	0	2.31258047458995	0.875497905053591
cell73	17920	3947	WT	A	1.11049107142857	TRUE	0	0.389907550055271	-7.25932506900726	0	0.749561269840037	1.69823341121723	0	0	0	2.23757026796559	2.23757026796559
cell74	29048	4684	KO	A	0.740154227485541	TRUE	0	3.14803523941684	-5.52631477695404	0	0.523849776348352	1.12022591607889	0	0	0	1.32283851815651	1.32283851815651
cell75	22184	4156	KO	A	1.18553912729895	TRUE	0	2.93138523026157	-5.70291952472625	0	0	0.37209812633401	0	0	0	1.30958932760049	1.30958932760049
cell76	27801	4540	KO	A	1.07550088126326	TRUE	0	1.86952466889072	-6.07039265018402	0	1.25786281066471	0.891504952827453	0.307263566029405	0.307263566029405	0	1.35521494359705	1.52540237536629
cell77	21264	4159	KO	A	0.507900677200903	TRUE	0	0.47434062882114	-6.02289299350677	0	1.82019506047903	1.89361497818834	0	0	0	1.74095448509878	1.20937578910407
cell78	29739	4603	KO	A	1.0289518813679	TRUE	0	1.91403741760898	-5.42189459186493	0	0.289873757525032	0	0.289873757525032	0.514330017910663	0	1.90455219857512	1.21009745828107
cell79	14697	3645	KO	A	1.65339865278628	TRUE	0	0.768758725363498	-4.92315487247406	0	0	0	1.75143679057986	0	0	2.5838011126144	1.62579653936519
cell80	26019	4516	KO	A	0.707175525577463	TRUE	0	2.23531932755161	-6.65972618442474	0	1.19574116171415	0.931115539014729	0	0	0	2.3247406944318	1.72490970985713
cell81	28276	4674	KO	A	0.894751732918376	TRUE	0	2.71623058243442	-6.44282059055267	0.723176956483042	1.13845488167721	1.13845488167721	0	0	0	1.6570620136186	1.78359210022381
cell82	6760	2016	KO	A	1.43491124260355	TRUE	0	1.79203052445102	-5.24515966754852	0	0	1.37588534520515	0	0	0	1.37588534520515	0
cell83	13476	3331	WT	A	1.01662214306916	TRUE	0	0.895404051977878	-5.48243574481903	0	1.37832262957657	0.909918438626321	0	0	0	2.55512893574407	1.54975155615629
cell84	28237	4487	KO	A	0.828699932712399	TRUE	0	1.73293132706333	-6.32528690677581	0	0	0.303170458535471	0.53549318674301	0.723887716885309	0	1.13939320149316	1.89706863250316
cell85	24570	4509	KO	A	1.0989010989011	TRUE	0	2.41205234451938	-6.08393291812835	0	0	0.595534800425377	0	0	0	1.53965980337245	0.966223720105288
cell86	24918	4418	KO	A	0.561842844530059	TRUE	0	1.1251241676395	-6.59919266086517	0	0	1.10080374820141	0	0	0	1.43758865879773	1.61206708816348
cell87	21035	4429	KO	A	0.727359163299263	TRUE	0	1.35570115967441	-5.11213449817596	0	0.668237644039191	0	0	0	0	1.21698499628156	1.56927927442298
cell88	32642	4810	KO	A	0.582072176949942	TRUE	0	2.17833728714634	-4.12336878162323	0.799943464225154	0.47791447748778	0	0	0.267239880344309	0	1.40205396695252	1.3236697395951
cell89	14243	3321	WT	A	0.98995998034122	TRUE	0	-0.196307230752224	-6.3385973392099	0	0.877216606305393	1.33720839388468	0.531862357966971	0	0	1.99045915418908	1.88961099506045
cell90	17935	3939	KO	A	1.09283523836075	TRUE	0	1.47395343704868	-5.667617839393	0	0	0.443126271926866	0	0	0	2.58524341614241	1.33179725469204
cell91	31978	4961	KO	A	0.91312777534555	TRUE	0	3.55652542038608	-5.0501599727243	0	0	0.941402752221177	0	0	0	1.49062394965774	1.68231839529269
cell92	16182	3988	KO	A	0.96403411197627	TRUE	0	0.17329664154697	-7.18677238803802	0	1.40850900926164	0.804662244213421	0	0	0	2.26712248050386	2.54485976049745
cell93	19020	3898	KO	A	0.920084121976867	TRUE	0	2.31823463364292	-4.67313818317352	0	0.718583278077721	0	0	0	0	0.946737320982722	0.946737320982722
cell94	13492	3443	KO	A	1.03765194189149	TRUE	0	-0.330846358102078	-6.6681175647348	0	1.69507963955808	1.69507963955808	0	0.554563020460869	0	1.93577895393732	2.03739739783264
cell95	19397	3832	WT	A	0.891890498530701	TRUE	0	0.466625880438571	-6.14373497348724	0	0.415774213385636	2.16712665756182	0	0	0	1.6340035171844	1.97220756235525
cell96	21683	3974	KO	A	0.825531522390813	TRUE	0	2.05978937073398	-5.88566021305023	0	0	1.44180843156207	0	0	0	1.63913595773538	1.3263173584972
cell97	30908	4945	KO	A	0.899443509770933	TRUE	0	2.32744617386509	-6.00387291294036	0	0.499005032058463	1.58565532953909	0	0	0	1.92040696936348	1.364014875749
cell98	17412	3635	WT	A	1.19457845164255	TRUE	0	1.82198209686924	-5.60484890323577	0	0.453821250033526	1.49198218364805	0	0	0	1.19309371701908	0
cell99	14529	3438	KO	A	1.23201872117833	TRUE	0	0.161910485464817	-5.75582174640594	0	1.32258601815137	0.865652898568985	0	0	0	1.97331789277806	1.49096808307026
cell100	31621	4933	KO	A	1.16694601688751	TRUE	0	2.81515378876377	-6.18172935825286	0	0.8175668702184	0	0	0	0	1.80169800603635	1.63143263130451
