	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2
cell112	40602	5559	KO	A	1.1280232500862	TRUE	0	3.32684917374301	-5.69889931064544
cell113	29878	5172	KO	A	1.1580427070085	TRUE	0	2.10436220093418	-5.373184245643
cell114	13994	3540	KO	A	1.5363727311705	TRUE	0	1.82327909393955	-5.32395891529022
cell115	14319	3581	WT	A	1.45959913401774	TRUE	0	1.98721713944126	-4.52921871524749
cell116	25257	4506	KO	A	0.894801441184622	TRUE	0	1.50764436646152	-7.11464027744232
cell117	18177	3754	KO	A	1.116795950927	TRUE	0	-0.199044037621731	-5.48434738498626
cell118	22764	4262	KO	A	1.05868915832015	TRUE	0	0.0961315147464328	-5.93995956760345
cell119	19906	4087	KO	A	1.28604440872099	TRUE	0	1.42747659607578	-5.63648275714813
cell120	15310	3912	KO	A	1.3847158719791	TRUE	0	2.23082132263828	-4.82588199954925
cell121	30166	4939	KO	A	0.93814227938739	TRUE	0	2.57238931580234	-6.18180851322113
cell122	15152	3783	KO	A	1.59054910242872	TRUE	0	1.29931039734531	-5.8913784442514
cell123	34348	4997	KO	A	0.786071969255852	TRUE	0	2.28610629959751	-6.76122478824554
cell124	27302	4892	KO	A	1.12812248186946	TRUE	0	0.813439320761447	-5.59505657535492
cell125	18966	3950	KO	A	0.764525993883792	TRUE	0	1.50738258286167	-5.35853103977142
cell126	27470	4810	KO	A	1.26319621405169	TRUE	0	1.16413850708652	-6.07736973148284
cell127	29181	4716	KO	A	0.678523696926082	TRUE	0	2.55058116837192	-6.36598591190277
cell128	19424	3983	WT	A	1.15321252059308	TRUE	0	-0.00993995742153597	-7.16103367191253
cell129	16413	3770	KO	A	0.846889660634863	TRUE	0	2.19470662995029	-5.11447529178558
cell130	19411	4072	KO	A	0.886095512853537	TRUE	0	1.85797567291904	-5.66664890628753
cell131	33761	5301	KO	A	1.01892716447973	TRUE	0	1.97717542572666	-6.74788383823333
cell132	25058	4369	KO	A	0.506824167930401	TRUE	0	1.30079002304721	-6.20156101566253
cell133	19426	4125	KO	A	0.80304746216411	TRUE	0	2.0699598304813	-5.67233042102752
cell134	25408	4669	WT	A	1.58611460957179	TRUE	0	1.13920373840976	-6.68156246524749
cell135	23898	4227	KO	A	1.28044187798142	TRUE	0	1.53987617417026	-6.06460670810638
cell136	25859	4859	KO	A	0.831431996596929	TRUE	0	3.11363429947544	-4.91481975894867
cell137	20047	3933	KO	A	1.28198732977503	TRUE	0	1.74106187744785	-5.43227485996185
cell138	16387	3706	KO	A	2.16024897784829	TRUE	0	1.24822492523838	-5.73744634967743
cell139	21225	4217	KO	A	1.25795053003534	TRUE	0	1.04038972778965	-5.06649879795013
cell140	22971	4470	KO	A	0.905489530277306	TRUE	0	1.21821994705844	-5.98498777728973
cell141	13817	3518	KO	A	1.46920460302526	TRUE	0	1.83810682221103	-5.20722488742767
cell142	15267	3516	WT	A	2.23357568612039	FALSE	0	2.90525979920078	-6.48253540378509
cell143	12402	3231	KO	A	0.846637639090469	TRUE	0	-0.149331618111844	-7.27079872470794
cell144	15923	3394	KO	A	0.471016768196948	TRUE	0	2.76539392395664	-5.44448713642059
cell145	35065	4986	KO	A	1.06659061742478	FALSE	0	2.94377250595737	-6.34988788944183
cell146	15506	3305	KO	A	0.909325422417129	TRUE	0	0.358569812018161	-6.7748127399057
cell147	23013	4232	KO	A	0.664841611263199	TRUE	0	1.28431148453403	-6.55963997226654
cell148	25458	4592	KO	A	1.19412365464687	TRUE	0	0.168987940985446	-6.58849338870941
cell149	12833	2956	KO	A	1.18444634925582	TRUE	0	1.49806089325595	-5.93493418079315
cell150	18657	3801	KO	A	0.777188186739562	TRUE	0	0.665188264090305	-5.85777668338714
cell151	28809	4591	KO	A	0.760179110694575	TRUE	0	1.17316932602573	-7.23995594364105
cell152	10519	2952	KO	A	1.32141838577812	TRUE	0	1.55715675278354	-5.60101322513519
cell153	38423	5082	KO	A	1.42883168935273	TRUE	0	3.20830125733066	-5.67357115131317
cell154	23344	4194	KO	A	1.16518163125428	TRUE	0	0.933235358435398	-6.48209575992523
cell155	15949	3922	KO	A	1.02200764938241	TRUE	0	1.22729368134189	-5.64358476978241
cell156	15796	3944	KO	A	0.987591795391238	TRUE	0	1.7052170745914	-3.89355377536712
cell157	22194	4230	WT	A	0.603766783815446	TRUE	0	0.242803525168186	-6.21267608982025
cell158	20250	4043	KO	A	1.05679012345679	TRUE	0	1.94541282578159	-5.45798878055511
cell159	17791	3711	KO	A	1.12416390309707	TRUE	0	0.31942005081821	-6.49911121707855
cell160	21204	3888	KO	A	0.853612525938502	TRUE	0	2.72257680817295	-6.10975937229095
cell161	17217	3866	KO	A	0.726026601614683	TRUE	0	0.788121413428073	-5.59074453693328
cell162	29554	4440	KO	A	0.717330987345199	TRUE	0	3.40861864014316	-5.4518032489389
cell163	31129	4887	KO	A	1.05689228693501	TRUE	0	3.27287549896884	-5.65425209384857
cell164	32399	4947	KO	A	0.814839964196426	TRUE	0	1.93093366547275	-6.81810860019622
cell165	32551	4997	KO	A	0.540689994163006	TRUE	0	3.57885427399326	-5.47865204196868
cell166	20710	4211	KO	A	0.478029937228392	TRUE	0	0.771352957922702	-6.36515621524749
cell167	20281	4155	KO	A	0.724816330555693	TRUE	0	0.253190468985324	-7.20286945682464
cell168	13988	3515	WT	A	1.25822133257077	TRUE	0	0.739433716971164	-4.45466379505096
cell169	16940	3314	KO	A	0.944510035419126	TRUE	0	0.39641184731174	-6.65409759860931
cell170	15963	3400	KO	A	0.720415961911921	TRUE	0	0.582661580282932	-6.54778198581634
cell171	22934	4387	KO	A	1.20345338798291	TRUE	0	1.94323987885166	-5.44741300922332
cell172	17919	3649	KO	A	0.909648975947319	TRUE	0	1.86759204788852	-5.77982143741546
cell173	22461	4323	KO	A	0.783580428297939	TRUE	0	0.00935954971957731	-7.13505844455658
cell174	24825	4438	KO	A	0.789526686807654	TRUE	0	3.27279872818637	-5.05284647327362
cell175	13615	3275	KO	A	1.55710613294161	TRUE	0	0.277063082892185	-6.12771896701751
cell176	16693	3730	KO	A	1.29395555023064	TRUE	0	3.16320485993076	-6.13558678012786
cell177	12003	3105	KO	A	0.824793801549613	TRUE	0	-0.0275466926510282	-6.22448353153167
cell178	28547	4896	KO	A	1.0649104984762	TRUE	0	1.51740140839267	-6.74498276096283
cell179	13689	3680	WT	A	0.847395719190591	TRUE	0	2.30177707596469	-4.37518553119598
cell180	12968	3020	KO	A	0.53979025293029	TRUE	0	0.489939641196018	-5.96024469715057
cell181	10429	2558	KO	A	0.824623645603605	TRUE	0	1.11516351624179	-5.71524910312591
cell182	24509	4180	KO	A	0.697702884654617	TRUE	0	1.79319257660556	-6.92159656864105
cell183	30932	4805	KO	A	0.762963920858658	TRUE	0	2.96097345276523	-5.59926370960174
cell184	20638	4196	KO	A	0.886713828859386	TRUE	0	0.467517565924411	-6.42154697757659
cell185	16412	3291	KO	A	0.706799902510358	TRUE	0	3.49132461472202	-5.75632337909637
cell186	14620	3285	WT	A	1.50478796169631	TRUE	0	0.183960627753025	-6.48322872501312
cell187	34131	4942	KO	A	1.01667106149834	TRUE	0	3.25419683380771	-5.69028953891693
cell188	12611	3396	KO	A	1.68900166521291	TRUE	0	0.0461930744235568	-6.14141945224701
cell189	35152	5226	KO	A	0.890418752844788	TRUE	0	2.9175874702518	-5.52359585147796
cell190	12494	3104	KO	A	0.74435729149992	TRUE	0	0.943883370596653	-5.2038898883432
cell191	23634	4232	KO	A	1.13819074215114	TRUE	0	1.78981943054843	-6.33549312930999
cell192	28072	4712	KO	A	0.723140495867769	TRUE	0	1.33559532089878	-6.2264728961557
cell193	18995	3785	KO	A	1.58989207686233	TRUE	0	1.92312927170444	-4.77302936893402
cell194	25277	4623	KO	A	1.03651540926534	TRUE	0	2.12859554215122	-6.70045856815277
cell195	34000	5184	KO	A	0.917647058823529	TRUE	0	2.14358014984775	-6.77599148136077
cell196	17095	3941	WT	A	1.12898508335771	TRUE	0	1.05181713028598	-5.26850227695404
cell197	8407	2399	KO	A	0.868324015701201	TRUE	0	-0.514850188058133	-6.24661640506683
cell198	12247	2998	KO	A	0.832857026210501	TRUE	0	-0.0498226173336453	-6.95399765354095
cell199	21515	4188	KO	A	0.934231931210783	TRUE	0	2.70229072495151	-4.88019804340301
cell200	17427	3685	WT	A	1.13042979285017	TRUE	0	0.969690989691501	-5.89993051868377
cell201	17642	3927	WT	A	1.08264369119147	TRUE	0	1.49066181107212	-4.82648662906585
cell202	16206	3777	KO	A	0.900900900900901	TRUE	0	2.08029432221103	-5.45315985065399
cell203	18732	4058	WT	A	1.06769165065129	TRUE	0	0.925468634802585	-5.64341310840545
cell204	30611	4919	KO	A	0.728496292182549	TRUE	0	1.37934179230381	-6.46082977634368
cell205	13605	3821	KO	A	1.49944873208379	TRUE	0	0.381293009955173	-6.25638489108978
cell206	33160	4895	KO	A	0.600120627261761	TRUE	0	3.22139139099765	-5.96196798664032
cell207	27793	4353	KO	A	0.593674666282877	TRUE	0	1.31792373581577	-7.27761940341888
cell208	15551	3428	WT	A	0.887402739373674	TRUE	0	-0.164338160317654	-6.11476425510345
cell209	24376	4331	KO	A	0.455365933705284	TRUE	0	2.16820020600009	-5.36694292407928
cell210	20479	4382	KO	A	1.68465257092631	TRUE	0	1.85417432709384	-5.97342256885467
cell211	38918	5549	KO	A	0.95842540726656	TRUE	0	3.02800960465122	-5.55732206684051
cell212	19114	3949	WT	A	1.57476195458826	TRUE	0	1.25350208206821	-6.12652305942474
cell213	8374	2564	KO	A	3.28397420587533	TRUE	0	1.94164199753452	-4.77034668308197
cell214	43181	5361	KO	A	0.660012505500104	TRUE	0	3.85247392578769	-5.49686579090057
cell215	32178	4809	KO	A	1.23376219777488	TRUE	0	2.28700561447788	-6.64991573673187
cell216	34478	4892	KO	A	0.757004466616393	TRUE	0	3.33478326721836	-5.68877271991668
cell217	22758	4335	KO	A	0.887599964847526	TRUE	0	0.497454594809299	-6.53948788028656
cell218	10921	3110	KO	A	1.36434392454903	TRUE	0	0.354393910605197	-5.47051576953826
cell219	33510	5058	KO	A	0.922112802148612	TRUE	0	2.187502097327	-6.67924217563568
cell220	21629	4111	KO	A	0.72125387211614	TRUE	0	0.763348292547946	-6.41878799777923
cell221	11450	2960	WT	A	1.56331877729258	TRUE	0	0.0394677631442599	-6.0549059329599
cell222	10893	2909	KO	A	1.17506655650418	TRUE	0	0.085967253882175	-6.2491665301889
cell223	24490	4596	KO	A	0.873826051449571	TRUE	0	3.39308423920322	-4.85316233020721
cell224	15279	3484	KO	A	0.968649780744813	TRUE	0	0.0565611831729464	-6.08695320468841
cell225	14449	3816	KO	A	1.56412208457333	TRUE	0	0.451777409750705	-7.1870966373056
cell226	13362	3137	KO	A	1.04026343361772	TRUE	0	0.310161542135959	-6.59056476932464
cell227	28775	5381	KO	A	1.17115551694179	FALSE	0	2.34868688507724	-5.8743639407724
cell228	36430	5072	WT	A	0.584682953609662	TRUE	0	2.55735320969272	-4.72813419681488
cell229	29225	4895	KO	A	1.18391787852866	TRUE	0	1.46384401245761	-7.22729114871917
cell230	13014	3537	KO	A	1.42154602735516	TRUE	0	-0.141298580926175	-5.9767203746408
cell231	13581	3135	KO	A	0.971946101170753	TRUE	0	1.3622166626041	-5.62745575290618
cell232	16544	3729	KO	A	1.08196324951644	TRUE	0	1.62257070465732	-4.68952755313812
cell233	28260	4562	KO	A	0.97310686482661	TRUE	0	3.54876251145053	-5.30012993198333
cell234	15990	3743	KO	A	1.06941838649156	TRUE	0	1.15998811646152	-5.75372795444427
cell235	9240	2730	KO	A	1.73160173160173	FALSE	0	0.842861127096897	-5.57416061740814
